"","state","year","Methadone","Buprenorphine","prescribing_rate","unemployment_rate","percent_low_income_unisured_children","poverty_rate","governor_is_democrat_1_yes","federal_minimum_wage","state_minimum_wage","food_insecure_percent","log_gsp","tanf_caseload_per_receipt_percent","snap_caseload_per_receipt_percent","medicaid_beneficiaries_percent","wic_participation_percent","nslp_total_participation_percent","state_house_that_is_democrat_percent","state_senate_that_is_democrat_percent","totalgrm","totalpop","kgPer100000","pdmp","marijuana","nal","gsl","medicaid","pillmill","prescription_opioid_overdose_deaths","trend"
"Delaware.8","Delaware",2013,9.39752379545435,0.958333141908691,92.7,6.7,2.6,14,1,7.12430657158813,7.12430657158813,15.22675,10.9957669320752,35.474701534963,47.1757089147154,22.8021090329852,2.24745764048963,10.2199677204267,66,61.9047619047619,8851.53,923638.097537836,0.958333141908691,0,1,0,1,0,0,7.4,7
"Delaware.9","Delaware",2014,10.1889049690361,0.92472400795347,91,5.7,3.3,11,1,7.00176840525888,7.4846489849319,11.24678,11.0751287748078,35.5595793139562,47.5318174556686,20.454865978324,2.12325635064447,10.1310690856952,66,61.9047619047619,8623.94,932596.096329959,0.92472400795347,0,1,1,1,1,0,8.8,8
"Delaware.10","Delaware",2015,11.3052910111401,1.05251775795902,84.4,4.9,1.6,11.1,1,6.87589493329054,7.82429423443407,12.30917,11.1248031084046,35.4601610759246,47.8867252742857,22.1936202737189,2.0083765569268,10.3577993390659,60.9756097560976,57.1428571428571,9908.54,941413.094940462,1.05251775795902,0,1,1,1,1,0,8.5,9
"Delaware.11","Delaware",2016,10.6596401761329,1.2290720824192,79.2,4.5,1.5,11.6,1,6.7279376077978,7.65592900197681,12.63825,11.0941699532919,35.4086898618279,48.1834384890112,21.2572670983599,1.90085936359387,10.3488719257614,60.9756097560976,57.1428571428571,11666.55,949216.092927322,1.2290720824192,0,1,1,1,1,0,12.2,10
"Delaware.12","Delaware",2017,11.492620203407,1.51669024115402,68.3,4.5,1.4,9.2,1,6.60604173086676,7.51721990064149,12.3101902008057,11.0930199276091,35.8185439519605,48.6802220632812,21.497413037625,1.78405283495107,10.2893080330458,60.9756097560976,50,14515.91,957078.0905767,1.51669024115402,0,1,1,1,1,0,24,11
"District of Columbia.1","District of Columbia",2006,8.74550062569622,0.068496227176653,31.7,5.8,4.7,18.3,0,5.74624535865163,7.81043058457503,13.73828,11.4955920488795,40.6061075802201,50.992508523237,25.0767066014113,2.66225789889623,7.92544346140839,0,91.6666666666667,387.06,565082.218326807,0.068496227176653,0,0,0,0,0,0,4.3,0
"District of Columbia.2","District of Columbia",2007,8.93918464088557,0.151298741946715,41.2,5.5,3.9,18,0,5.61512494416222,7.63220866196806,13.29519,11.5288690670997,42.2842674331075,52.1607970503589,25.2085640072144,2.64448019164212,7.225054143077,0,90,860.77,568920.791359354,0.151298741946715,0,0,0,0,0,0,0,1
"District of Columbia.3","District of Columbia",2008,9.03469640404792,0.233582169491278,34.5,6.5,3.3,16.5,0,6.23513559661295,7.46084601304113,14.95859,11.5664926082972,45.1453048882916,53.3541289327162,24.8590228803452,2.83005535678586,7.3670023921301,0,91.6666666666667,1342.39,574697.119614741,0.233582169491278,0,0,0,0,0,0,0,2
"District of Columbia.4","District of Columbia",2009,8.48481611309675,0.319439310198177,34.4,9.3,6.5,17.9,0,6.86430484975189,7.91229032299646,17.32004,11.5730835081379,42.8779304769604,54.7782907918808,25.7416062732596,2.95038397373984,7.5273658455865,0,100,1873.75,586574.645067179,0.319439310198177,0,0,0,0,0,0,0,3
"District of Columbia.5","District of Columbia",2010,8.46225358473019,0.376707228921248,37.1,9.4,3.5,19.9,0,7.52583541444309,8.5638816785042,13.30619,11.6120267823427,44.2001516300227,55.7264986117323,27.0365180144301,2.80040850996321,7.66229426598758,0,100,2257.64,599308.913307837,0.376707228921248,0,0,0,0,0,0,0,4
