Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1804,Travis Leslie\leslitr01,21-274,G,2011-12-28,LAC,@,SAS,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1
1805,Darrell Lockhart\lockhda01,23-046,C,1983-10-30,SAS,,DAL,W,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
1806,Kalin Lucas\lucaska01,25-179,G,2014-11-19,MEM,@,TOR,L,0,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.1
1807,Brian Martin\martibr01,23-072,F,1985-10-29,SEA,@,HOU,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.1
1808,O.J. Mayo\mayooj01,20-359,G,2008-10-29,MEM,@,HOU,L,1,40,5,20,.250,5,13,.385,0,7,.000,0,0,,2,3,5,2,2,0,3,2,10,-0.1
1809,Bob Miller\millebo01,27-182,F,1984-01-07,SAS,@,GSW,L,0,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.1
1810,Tracy Moore\mooretr01,26-027,G-F,1992-01-24,DAL,@,ORL,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,2,0,-0.1
1811,Lucas Nogueira\noguelu01,22-118,C,2014-11-21,TOR,,MIL,W,0,9,1,2,.500,1,2,.500,0,0,,0,2,.000,1,4,5,0,1,0,2,3,2,-0.1
1812,Walter Palmer\palmewa01,22-010,C-F,1990-11-02,UTA,,PHO,L,0,7,1,2,.500,1,2,.500,0,0,,0,0,,0,3,3,0,0,2,3,1,2,-0.1
1813,Anthony Parker\parkean01,22-171,G,1997-12-07,PHI,,NYK,W,0,2,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1
1814,Oleksiy Pecherov\pecheol01,22-034,C,2008-01-11,WAS,@,ATL,W,0,4,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-0.1
1815,Marshall Plumlee\plumlma02,24-129,C,2016-11-20,NYK,,ATL,W,0,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
1816,Laron Profit\profila01,22-089,G-F,1999-11-02,WAS,,ATL,W,0,7,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1
1817,Doug Roth\rothdo01,22-112,C,1989-12-14,WSB,,CHH,W,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1
1818,Larry Sanders\sandela01,21-340,C-F,2010-10-27,MIL,@,NOH,L,0,4,0,1,.000,0,1,.000,0,0,,0,2,.000,0,0,0,1,0,1,0,0,0,-0.1
1819,Garret Siler\silerga01,24-009,C,2010-11-03,PHO,,SAS,L,0,7,0,0,,0,0,,0,0,,1,2,.500,1,0,1,0,0,2,2,2,1,-0.1
1820,Robert Swift\swiftro01,18-336,C,2004-11-03,SEA,@,LAC,L,0,13,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1
1821,Pape Sy\sypa01,23-003,F,2011-04-08,ATL,@,IND,L,0,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.1
1822,John Thomas\thomajo02,22-053,F,1997-10-31,BOS,,CHI,W,0,5,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,1,0,-0.1
1823,Robert Whaley\whalero01,23-212,C,2005-11-14,UTA,,NYK,L,0,6,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,1,1,2,1,0,-0.1
1824,Dale Wilkinson\wilkida01,24-229,F,1984-11-02,DET,@,BOS,L,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
1825,Justin Williams\williju01,22-246,F,2007-01-13,SAC,,HOU,L,0,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
1826,Pat Durham\durhapa01,26-006,F,1993-03-16,GSW,,BOS,L,0,12,0,7,.000,0,7,.000,0,0,,2,2,1.000,3,2,5,0,1,0,1,0,2,-0.2
1827,Mike Iuzzolino\iuzzomi01,23-283,G,1991-11-01,DAL,@,SAS,L,0,12,1,4,.250,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,3,2,-0.2
1828,Jim Jackson\jacksji01,22-142,G,1993-03-05,DAL,,HOU,L,1,26,3,8,.375,3,8,.375,0,0,,0,1,.000,0,0,0,4,2,0,5,3,6,-0.2
1829,Jonas Jerebko\jerebjo01,22-243,F,2009-10-31,DET,@,MIL,L,0,6,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2
1830,Bill Jones\jonesbi01,22-321,F,1989-02-02,NJN,@,GSW,L,0,10,0,3,.000,0,3,.000,0,0,,0,0,,0,2,2,0,1,1,0,1,0,-0.2
1831,Damon Jones\jonesda01,22-174,G,1999-02-15,NJN,@,MIA,L,0,17,1,5,.200,1,2,.500,0,3,.000,0,0,,1,0,1,0,1,0,0,2,2,-0.2
1832,Bruce Kuczenski\kuczebr01,22-267,F,1983-10-28,NJN,,ATL,W,0,3,1,2,.500,1,2,.500,0,0,,0,2,.000,0,0,0,0,0,0,0,1,2,-0.2
1833,Courtney Lee\leeco01,23-031,G,2008-11-03,ORL,,CHI,W,0,20,1,6,.167,1,3,.333,0,3,.000,0,0,,0,0,0,0,2,0,0,1,2,-0.2
1834,Georgios Papagiannis\papagge01,19-125,C,2016-11-05,SAC,@,MIL,L,0,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,3,2,-0.2
1835,John Pinone\pinonjo01,22-251,F,1983-10-28,ATL,@,NJN,L,0,7,0,1,.000,0,1,.000,0,0,,0,2,.000,0,1,1,1,0,1,0,1,0,-0.2
1836,Vladimir Radmanovic\radmavl01,20-345,F,2001-10-30,SEA,@,SAC,L,0,19,2,7,.286,0,2,.000,2,5,.400,0,2,.000,0,3,3,1,1,1,3,4,6,-0.2
1837,Derrick Rowland\rowlade01,26-274,G,1986-03-22,MIL,,ATL,W,0,7,0,2,.000,0,2,.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,1,-0.2
1838,Brian Rowsom\rowsobr01,22-025,F,1987-11-17,IND,@,SAC,W,0,3,0,3,.000,0,3,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,2,2,-0.2
1839,Billy Thomas\thomabi01,29-029,G,2005-01-21,NJN,,BOS,W,0,14,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,2,0,-0.2
1840,Phil Zevenbergen\zevenph01,23-344,C,1988-03-22,SAS,@,DEN,L,0,10,2,5,.400,2,5,.400,0,0,,0,1,.000,0,1,1,1,0,1,2,2,4,-0.2
1841,Gary Alexander\alexaga01,24-004,F,1993-11-05,MIA,,ORL,L,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3
1842,Randy Allen\allenra01,24-042,F,1989-03-09,SAC,@,PHI,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-0.3
1843,Mengke Bateer\bateeme01,26-099,C,2002-02-27,DEN,@,GSW,L,0,14,0,1,.000,0,1,.000,0,0,,0,0,,2,1,3,1,1,0,1,5,0,-0.3
1844,Anthony Cook\cookan01,23-228,F-C,1990-11-02,DEN,,GSW,L,0,3,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-0.3
1845,Wayne Englestad\englewa01,21-334,F,1988-11-04,DEN,,HOU,W,0,4,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,4,3,-0.3
1846,Tyreke Evans\evansty01,20-039,G-F,2009-10-28,SAC,@,OKC,L,1,35,5,15,.333,5,14,.357,0,1,.000,0,2,.000,1,3,4,2,1,0,3,5,10,-0.3
1847,Christian Eyenga\eyengch01,21-194,F,2011-01-02,CLE,,DAL,L,0,15,2,6,.333,2,2,1.000,0,4,.000,0,0,,0,3,3,0,0,0,1,2,4,-0.3
1848,Avery Johnson\johnsav01,23-225,G,1988-11-05,SEA,,DEN,W,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3
1849,Mark Jones\jonesma02,22-205,G,1983-11-01,NJN,,CLE,W,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3
1850,Ed Pinckney\pincked01,22-212,F,1985-10-25,PHO,@,POR,L,0,22,2,7,.286,2,7,.286,0,0,,1,4,.250,3,0,3,2,1,1,4,3,5,-0.3
1851,Ramon Rivas\rivasra01,22-155,F-C,1988-11-05,BOS,@,PHI,L,0,7,0,2,.000,0,2,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,1,1,-0.3
1852,David Rivers\riverda01,23-294,G,1988-11-09,LAL,,DEN,W,0,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-0.3
1853,Vladimir Stepania\stepavl01,22-277,C,1999-02-09,SEA,,GSW,W,0,10,1,2,.500,1,2,.500,0,0,,0,3,.000,1,0,1,0,1,2,2,3,2,-0.3
1854,Garrett Temple\templga01,23-277,G,2010-02-09,HOU,@,MIA,L,0,14,1,4,.250,1,2,.500,0,2,.000,0,0,,1,2,3,0,0,0,0,3,2,-0.3
1855,Monty Williams\willimo01,23-031,F,1994-11-08,NYK,,LAL,W,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3
1856,Rafael Addison\addisra01,22-102,F-G,1986-11-01,PHO,@,LAC,L,0,2,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1857,Antonio Anderson\anderan02,24-271,G,2010-03-03,OKC,@,DEN,L,0,15,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-0.4
1858,Chris Anstey\anstech01,22-311,C,1997-11-08,DAL,,POR,L,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-0.4
1859,William Avery\averywi01,20-097,G,1999-11-13,MIN,,PHO,W,0,1,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-0.4
1860,Lonny Baxter\baxtelo01,23-278,F,2002-11-01,CHI,,NOH,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1861,Ben Bentil\bentibe01,21-337,F,2017-03-01,DAL,@,ATL,L,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1862,Donnie Boyce\boycedo01,22-192,G,1996-03-12,ATL,,UTA,W,0,5,1,6,.167,1,3,.333,0,3,.000,0,0,,1,0,1,1,1,0,1,0,2,-0.4
1863,Duane Causwell\causwdu01,22-155,C,1990-11-02,SAC,@,LAC,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1864,Jordan Crawford\crawfjo02,22-004,G,2010-10-27,ATL,@,MEM,W,0,2,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1865,Austin Croshere\croshau01,22-203,F,1997-11-20,IND,@,MIL,W,0,8,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,2,0,1,1,1,0,-0.4
1866,John Crotty\crottjo01,23-114,G,1992-11-06,UTA,,GSW,L,0,1,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-0.4
1867,Austin Daye\dayeau01,21-147,F,2009-10-30,DET,,OKC,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1868,Nando De Colo\decolna01,25-133,G,2012-11-03,SAS,,UTA,W,0,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4
1869,Spencer Dinwiddie\dinwisp01,21-206,G,2014-10-29,DET,@,DEN,L,0,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4
1870,Jared Dudley\dudleja01,22-115,F-G,2007-11-02,CHA,,MIL,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4
1871,Marcus Georges-Hunt\georgma01,23-007,G,2017-04-04,ORL,@,CLE,L,0,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1872,Andrew Harrison\harrian01,21-364,G,2016-10-26,MEM,,MIN,W,1,38,1,7,.143,1,3,.333,0,4,.000,2,4,.500,1,2,3,4,1,0,3,3,4,-0.4
1873,Randy Holcomb\holcora01,26-151,F,2006-01-06,CHI,@,MIL,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1874,Horace Jenkins\jenkiho01,30-050,G,2004-12-03,DET,@,SAS,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1875,Ken Johnson\johnske01,22-354,F,1985-10-27,POR,,GSW,W,0,3,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4
1876,Charles Jones\jonesch02,22-290,F,1984-10-28,PHO,@,SEA,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1877,Solomon Jones\jonesso01,22-108,F,2006-11-01,ATL,@,PHI,L,0,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1878,Jimmy King\kingji02,22-086,G,1995-11-03,TOR,,NJN,W,0,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4
1879,Gani Lawal\lawalga01,22-054,F,2010-12-31,PHO,,DET,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1880,Jim Les\lesji01,25-078,G,1988-11-04,UTA,,SEA,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1881,Art Long\longar01,28-142,F,2001-02-20,SAC,,ATL,W,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-0.4
1882,Roger Mason\masonro01,22-164,G,2003-02-21,CHI,@,ORL,L,0,3,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1883,Ben McDonald\mcdonbe01,23-227,F,1986-03-04,CLE,@,LAC,L,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1884,Dominic McGuire\mcguido01,22-011,F,2007-10-31,WAS,@,IND,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1885,Jodie Meeks\meeksjo01,22-074,G,2009-11-03,MIL,@,CHI,L,0,2,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1886,Pops Mensah-Bonsu\mensapo01,23-075,F,2006-11-21,DAL,,WAS,W,0,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1887,Richard Morton\mortori01,22-276,G,1988-11-04,IND,,MIL,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1888,Kevin Murphy\murphke01,22-239,G,2012-10-31,UTA,,DAL,W,0,2,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4
1889,Toure' Murry\murryto01,24-000,G-F,2013-11-08,NYK,@,CHA,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1890,Jeff Nordgaard\nordgje01,24-250,F,1997-10-31,MIL,@,PHI,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1891,David Nwaba\nwabada01,24-045,G,2017-02-28,LAL,,CHO,L,0,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1892,Peter John Ramos\ramospe01,19-174,C,2004-11-03,WAS,@,MEM,W,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-0.4
1893,Zach Randolph\randoza01,20-106,F,2001-10-30,POR,@,LAL,L,0,1,0,1,.000,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,1,0,1,-0.4
1894,Rob Rose\rosero01,24-094,G,1989-03-31,LAC,,SAS,W,0,2,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1895,Robert Sacre\sacrero01,23-147,C,2012-10-31,LAL,@,POR,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1896,Carey Scurry\scurrca01,22-325,F,1985-10-25,UTA,,HOU,L,0,8,0,3,.000,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,-0.4
1897,Miles Simon\simonmi01,23-079,G,1999-02-08,ORL,,BOS,W,0,1,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4
1898,Donta Smith\smithdo04,20-365,G-F,2004-11-26,ATL,,ORL,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1899,Doug Smith\smithdo03,22-049,F,1991-11-05,DAL,,CLE,L,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1900,Joe Stephens\stephjo01,24-017,F,1997-02-14,HOU,@,SEA,L,0,2,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,1,0,0,-0.4
1901,Dane Suttle\suttlda01,22-082,G,1983-10-30,KCK,,SEA,L,0,2,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4
1902,Sedale Threatt\threase01,22-049,G,1983-10-29,PHI,@,IND,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1903,Cezary Trybanski\trybace01,23-054,C,2002-11-15,MEM,,MIN,L,0,6,0,3,.000,0,3,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-0.4
1904,Keith Van Horn\vanhoke01,22-043,F,1997-12-05,NJN,,PHI,W,1,27,4,10,.400,4,8,.500,0,2,.000,3,3,1.000,0,2,2,2,1,0,7,5,11,-0.4
1905,David Vanterpool\vanteda01,27-341,G,2001-03-07,WAS,@,CLE,W,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1906,Fred Vinson\vinsofr01,23-280,G,1994-11-04,ATL,,IND,L,0,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4
1907,Henry Walker\walkebi01,21-029,F,2008-11-07,BOS,,MIL,W,0,4,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4
1908,Brant Weidner\weidnbr01,23-130,F,1984-03-06,SAS,,CLE,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1909,Kyle Wiltjer\wiltjky01,24-008,F,2016-10-28,HOU,@,DAL,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1910,Brandan Wright\wrighbr03,20-032,F-C,2007-11-06,GSW,,CLE,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
1911,Joe Young\youngjo01,23-123,G,2015-10-28,IND,@,TOR,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
1912,Vincent Askew\askewvi01,21-251,G-F,1987-11-06,PHI,,IND,W,0,15,1,5,.200,1,5,.200,0,0,,0,0,,0,1,1,1,2,0,2,1,2,-0.5
1913,Corey Benjamin\benjaco01,20-348,G,1999-02-07,CHI,@,LAC,W,0,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5
1914,Vander Blue\blueva01,21-189,G,2014-01-22,BOS,@,WAS,W,0,4,1,2,.500,1,2,.500,0,0,,0,2,.000,0,2,2,1,0,0,2,0,2,-0.5
1915,Dexter Boney\boneyde01,26-280,G,1997-02-01,PHO,@,TOR,L,0,11,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,0,0,0,0,0,0,1,1,4,-0.5
1916,Gerald Brown\brownge02,23-192,G,1999-02-05,PHO,@,LAC,W,0,9,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,0,0,0,2,2,3,-0.5
1917,Anthony Carter\cartean01,24-139,G,1999-11-02,MIA,,DET,W,0,12,1,6,.167,1,6,.167,0,0,,0,0,,1,2,3,2,0,0,1,1,2,-0.5
1918,Leroy Combs\combsle01,22-300,F,1983-10-28,IND,@,MIL,L,0,7,0,2,.000,0,2,.000,0,0,,0,0,,1,3,4,1,0,0,1,1,0,-0.5
1919,Corey Crowder\crowdco01,22-203,G-F,1991-11-02,UTA,@,IND,L,0,12,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-0.5
1920,Lloyd Daniels\daniell01,25-063,G,1992-11-06,SAS,@,SAC,L,0,24,2,8,.250,1,4,.250,1,4,.250,1,2,.500,0,1,1,2,0,0,1,5,6,-0.5
1921,DeSagana Diop\diopde01,19-273,C,2001-10-30,CLE,,BOS,L,0,6,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5
1922,Eric Gordon\gordoer01,19-309,G,2008-10-29,LAC,,LAL,L,0,14,0,4,.000,0,3,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,1,2,-0.5
1923,Gary Grant\grantga01,23-197,G,1988-11-04,LAC,@,PHI,L,0,19,3,6,.500,3,6,.500,0,0,,2,4,.500,1,1,2,3,1,0,8,2,8,-0.5
1924,Damion James\jamesda01,23-020,G-F,2010-10-27,NJN,,DET,W,0,4,1,3,.333,1,3,.333,0,0,,0,1,.000,0,0,0,0,0,0,0,1,2,-0.5
1925,Henry James\jameshe01,25-157,F,1991-01-02,CLE,,PHO,L,0,6,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-0.5
1926,Dahntay Jones\jonesda02,22-329,G-F,2003-11-21,MEM,@,SEA,W,0,8,0,3,.000,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,2,0,2,0,-0.5
1927,Travis Knight\knightr01,22-049,C,1996-11-01,LAL,,PHO,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5
1928,Marcus Liberty\liberma01,22-006,F,1990-11-02,DEN,,GSW,L,0,7,0,3,.000,0,3,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,-0.5
1929,Tracy Murray\murratr01,21-106,F,1992-11-08,POR,,DEN,W,0,7,1,3,.333,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-0.5
1930,Wayne Selden\seldewa01,22-165,G-F,2017-03-14,NOP,,POR,W,1,15,0,1,.000,0,0,,0,1,.000,2,4,.500,0,3,3,1,0,0,1,4,2,-0.5
1931,Courtney Sims\simsco01,24-010,C,2007-10-31,IND,,WAS,W,0,8,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5
1932,Lance Thomas\thomala01,23-248,F,2011-12-28,NOH,,BOS,W,0,2,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,-0.5
1933,Axel Toupane\toupaax01,23-225,G-F,2016-03-04,DEN,,BRK,L,0,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5
1934,Anthony Tucker\tuckean01,25-215,F,1994-11-05,WSB,@,CHI,W,0,8,0,3,.000,0,3,.000,0,0,,0,0,,3,1,4,0,0,0,0,2,0,-0.5
1935,Dontonio Wingfield\wingfdo01,20-143,F,1994-11-13,SEA,,LAC,W,0,2,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-0.5
1936,Cody Zeller\zelleco01,21-025,F-C,2013-10-30,CHA,@,HOU,L,0,16,1,6,.167,1,6,.167,0,0,,0,0,,3,1,4,0,0,1,1,2,2,-0.5
1937,Greg Foster\fostegr01,22-030,F-C,1990-11-02,WSB,@,MIA,L,0,16,2,4,.500,2,4,.500,0,0,,2,5,.400,2,2,4,0,1,0,4,6,6,-0.6
1938,Royal Ivey\iveyro01,22-319,G,2004-11-03,ATL,@,PHO,L,0,8,0,2,.000,0,2,.000,0,0,,2,2,1.000,0,1,1,1,1,0,2,3,2,-0.6
1939,Tyus Jones\jonesty01,19-184,G,2015-11-10,MIN,,CHO,L,0,13,0,4,.000,0,4,.000,0,0,,1,2,.500,0,1,1,1,1,0,0,1,1,-0.6
1940,Scooter McCray\mccrasc01,23-262,F-G,1983-10-28,SEA,,GSW,L,0,13,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,2,5,4,-0.6
1941,C.J. Miles\milescj01,18-210,G-F,2005-11-14,UTA,,NYK,L,0,14,1,7,.143,1,5,.200,0,2,.000,0,0,,1,1,2,1,1,0,0,2,2,-0.6
1942,Randolph Morris\morrira01,21-085,C,2007-03-28,NYK,,CLE,W,0,7,0,1,.000,0,1,.000,0,0,,1,4,.250,0,1,1,0,0,0,0,0,1,-0.6
1943,John Salmons\salmojo01,22-321,G,2002-10-29,PHI,@,ORL,L,0,18,1,5,.200,1,4,.250,0,1,.000,0,0,,0,0,0,2,1,1,1,4,2,-0.6
1944,Tim Thomas\thomati01,20-247,F,1997-10-31,PHI,,MIL,L,0,13,2,5,.400,2,5,.400,0,0,,0,1,.000,0,1,1,0,0,0,1,2,4,-0.6
1945,Pete Williams\willipe01,20-233,F,1985-10-29,DEN,@,PHO,W,0,4,0,0,,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,1,2,1,-0.6
1946,Tariq Abdul-Wahad\abdulta01,23-008,F,1997-11-11,SAC,@,MIA,L,0,10,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-0.7
1947,Lance Allred\allrela01,27-044,C,2008-03-17,CLE,@,ORL,L,0,0,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
1948,Rodrigue Beaubois\beaubro01,21-248,G,2009-10-30,DAL,@,LAL,W,0,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
1949,Eric Bledsoe\bledser01,20-322,G,2010-10-27,LAC,,POR,L,0,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7
1950,Kedrick Brown\brownke01,20-226,G,2001-10-30,BOS,@,CLE,W,0,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
1951,Will Bynum\bynumwi01,23-074,G,2006-03-19,GSW,,PHI,W,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7
1952,Brian Cardinal\cardibr01,23-221,F,2000-12-09,DET,@,POR,L,0,15,1,3,.333,1,3,.333,0,0,,1,2,.500,1,3,4,0,0,0,2,3,3,-0.7
1953,Mike Champion\champmi01,24-332,F,1989-03-03,SEA,,HOU,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
